Name,PV_walls_south_E_kWh,PV_walls_north_E_kWh,PV_roofs_top_E_kWh,PV_walls_east_E_kWh,PV_walls_west_E_kWh,E_PV_gen_kWh,radiation_kWh,PV_walls_south_m2,PV_walls_north_m2,PV_roofs_top_m2,PV_walls_east_m2,PV_walls_west_m2,Area_PV_m2
B148,0.00,0.00,7427.28,0.00,0.00,7427.28,77162.08,0.00,0.00,69.66,0.00,0.00,69.66
B149,0.00,0.00,15078.41,0.00,0.00,15078.41,156658.54,0.00,0.00,141.41,0.00,0.00,141.41
B150,0.00,0.00,8644.31,0.00,0.00,8644.31,89815.79,0.00,0.00,81.07,0.00,0.00,81.07
B151,0.00,0.00,16306.78,0.00,0.00,16306.78,169391.16,0.00,0.00,152.72,0.00,0.00,152.72
B152,0.00,0.00,11305.63,0.00,0.00,11305.63,117428.48,0.00,0.00,105.97,0.00,0.00,105.97
B153,0.00,0.00,4553.86,0.00,0.00,4553.86,47301.69,0.00,0.00,42.65,0.00,0.00,42.65
B154,0.00,0.00,2243.55,0.00,0.00,2243.55,24166.31,0.00,0.00,30.24,0.00,0.00,30.24
B155,0.00,0.00,7183.74,0.00,0.00,7183.74,74615.92,0.00,0.00,68.15,0.00,0.00,68.15
B156,0.00,0.00,7497.88,0.00,0.00,7497.88,77917.96,0.00,0.00,70.36,0.00,0.00,70.36
B157,0.00,0.00,7710.57,0.00,0.00,7710.57,80291.29,0.00,0.00,73.20,0.00,0.00,73.20
B158,0.00,0.00,16430.31,0.00,0.00,16430.31,171124.53,0.00,0.00,157.20,0.00,0.00,157.20
B159,0.00,0.00,7053.10,0.00,0.00,7053.10,73510.85,0.00,0.00,67.18,0.00,0.00,67.18
B160,0.00,0.00,1640.78,0.00,0.00,1640.78,17088.32,0.00,0.00,19.58,0.00,0.00,19.58
B161,0.00,0.00,4072.05,0.00,0.00,4072.05,42423.16,0.00,0.00,47.39,0.00,0.00,47.39
B162,0.00,0.00,5461.91,0.00,0.00,5461.91,57462.15,0.00,0.00,63.42,0.00,0.00,63.42
B163,0.00,0.00,5091.17,0.00,0.00,5091.17,54594.37,0.00,0.00,57.59,0.00,0.00,57.59
B164,0.00,0.00,7375.75,0.00,0.00,7375.75,76631.50,0.00,0.00,69.12,0.00,0.00,69.12
B165,0.00,0.00,19035.30,0.00,0.00,19035.30,197753.86,0.00,0.00,178.31,0.00,0.00,178.31
B166,0.00,0.00,3815.54,0.00,0.00,3815.54,39629.67,0.00,0.00,35.73,0.00,0.00,35.73
B167,0.00,0.00,6762.48,0.00,0.00,6762.48,71244.02,0.00,0.00,82.23,0.00,0.00,82.23
B168,0.00,0.00,6588.06,0.00,0.00,6588.06,66851.89,0.00,0.00,64.06,0.00,0.00,64.06
B169,0.00,0.00,4328.79,0.00,0.00,4328.79,44969.62,0.00,0.00,40.59,0.00,0.00,40.59
B170,0.00,0.00,7801.77,0.00,0.00,7801.77,81179.56,0.00,0.00,73.56,0.00,0.00,73.56
B171,0.00,0.00,7391.79,0.00,0.00,7391.79,76828.11,0.00,0.00,69.37,0.00,0.00,69.37
B172,0.00,0.00,8781.62,0.00,0.00,8781.62,91218.79,0.00,0.00,82.36,0.00,0.00,82.36
B173,0.00,0.00,4616.74,0.00,0.00,4616.74,47947.43,0.00,0.00,43.23,0.00,0.00,43.23
B174,0.00,0.00,7753.28,0.00,0.00,7753.28,80637.92,0.00,0.00,72.74,0.00,0.00,72.74
B175,0.00,0.00,5245.65,0.00,0.00,5245.65,54440.59,0.00,0.00,49.35,0.00,0.00,49.35
B176,0.00,0.00,40259.06,0.00,0.00,40259.06,418254.99,0.00,0.00,377.51,0.00,0.00,377.51
B177,0.00,0.00,6347.66,0.00,0.00,6347.66,65748.43,0.00,0.00,74.06,0.00,0.00,74.06
B178,0.00,0.00,16903.95,0.00,0.00,16903.95,175595.13,0.00,0.00,199.18,0.00,0.00,199.18
