Name,PV_walls_south_E_kWh,PV_walls_north_E_kWh,PV_roofs_top_E_kWh,PV_walls_east_E_kWh,PV_walls_west_E_kWh,E_PV_gen_kWh,radiation_kWh,PV_walls_south_m2,PV_walls_north_m2,PV_roofs_top_m2,PV_walls_east_m2,PV_walls_west_m2,Area_PV_m2
B025,0.00,0.00,2276.50,0.00,0.00,2276.50,23210.73,0.00,0.00,22.49,0.00,0.00,22.49
B026,0.00,0.00,3310.80,0.00,0.00,3310.80,34368.34,0.00,0.00,31.14,0.00,0.00,31.14
B027,0.00,0.00,17392.15,0.00,0.00,17392.15,180624.04,0.00,0.00,163.01,0.00,0.00,163.01
B028,0.00,0.00,4450.90,0.00,0.00,4450.90,46225.58,0.00,0.00,41.71,0.00,0.00,41.71
B029,0.00,0.00,3390.21,0.00,0.00,3390.21,35221.58,0.00,0.00,31.84,0.00,0.00,31.84
B030,0.00,0.00,4509.64,0.00,0.00,4509.64,46538.54,0.00,0.00,42.88,0.00,0.00,42.88
B031,0.00,0.00,3408.45,0.00,0.00,3408.45,35409.25,0.00,0.00,32.24,0.00,0.00,32.24
B032,0.00,0.00,3854.61,0.00,0.00,3854.61,40041.19,0.00,0.00,36.13,0.00,0.00,36.13
B033,0.00,0.00,2565.28,0.00,0.00,2565.28,26651.62,0.00,0.00,24.04,0.00,0.00,24.04
B034,0.00,0.00,3736.43,0.00,0.00,3736.43,38842.41,0.00,0.00,35.96,0.00,0.00,35.96
B035,0.00,0.00,5329.58,0.00,0.00,5329.58,54509.22,0.00,0.00,52.11,0.00,0.00,52.11
B036,0.00,0.00,3367.87,0.00,0.00,3367.87,34968.57,0.00,0.00,31.93,0.00,0.00,31.93
B037,0.00,0.00,2941.52,0.00,0.00,2941.52,30553.82,0.00,0.00,27.54,0.00,0.00,27.54
B038,0.00,0.00,3407.10,0.00,0.00,3407.10,35367.30,0.00,0.00,32.83,0.00,0.00,32.83
B039,0.00,0.00,4740.27,0.00,0.00,4740.27,50545.30,0.00,0.00,54.06,0.00,0.00,54.06
B040,0.00,0.00,981.60,0.00,0.00,981.60,10384.81,0.00,0.00,9.84,0.00,0.00,9.84
B041,0.00,0.00,2200.66,0.00,0.00,2200.66,22873.29,0.00,0.00,20.68,0.00,0.00,20.68
B042,0.00,0.00,1078.79,0.00,0.00,1078.79,11574.70,0.00,0.00,14.90,0.00,0.00,14.90
B043,0.00,0.00,3773.90,0.00,0.00,3773.90,39201.49,0.00,0.00,35.41,0.00,0.00,35.41
B044,0.00,0.00,2820.83,0.00,0.00,2820.83,29190.52,0.00,0.00,26.67,0.00,0.00,26.67
B045,0.00,0.00,2351.78,0.00,0.00,2351.78,24434.49,0.00,0.00,22.04,0.00,0.00,22.04
B046,0.00,0.00,3656.58,0.00,0.00,3656.58,38098.83,0.00,0.00,35.22,0.00,0.00,35.22
B047,0.00,0.00,4135.05,0.00,0.00,4135.05,42983.64,0.00,0.00,38.82,0.00,0.00,38.82
B048,0.00,0.00,2277.37,0.00,0.00,2277.37,23652.09,0.00,0.00,21.34,0.00,0.00,21.34
B049,0.00,0.00,2985.24,0.00,0.00,2985.24,30813.27,0.00,0.00,28.21,0.00,0.00,28.21
B050,0.00,0.00,3946.07,0.00,0.00,3946.07,40986.74,0.00,0.00,36.99,0.00,0.00,36.99
B051,0.00,0.00,29793.99,0.00,0.00,29793.99,309526.28,0.00,0.00,278.98,0.00,0.00,278.98
B052,0.00,0.00,4909.59,0.00,0.00,4909.59,51010.96,0.00,0.00,46.01,0.00,0.00,46.01
B053,0.00,0.00,6712.75,0.00,0.00,6712.75,69726.60,0.00,0.00,62.85,0.00,0.00,62.85
B054,0.00,0.00,4815.86,0.00,0.00,4815.86,50027.10,0.00,0.00,45.11,0.00,0.00,45.11
B055,0.00,0.00,7896.75,0.00,0.00,7896.75,81997.02,0.00,0.00,74.03,0.00,0.00,74.03
B056,0.00,0.00,3549.13,0.00,0.00,3549.13,36854.08,0.00,0.00,33.32,0.00,0.00,33.32
B057,0.00,0.00,3279.98,0.00,0.00,3279.98,34050.66,0.00,0.00,30.80,0.00,0.00,30.80
B058,0.00,0.00,3409.75,0.00,0.00,3409.75,35220.79,0.00,0.00,33.05,0.00,0.00,33.05
B059,0.00,0.00,2456.49,0.00,0.00,2456.49,25484.20,0.00,0.00,23.54,0.00,0.00,23.54
B060,0.00,0.00,4340.12,0.00,0.00,4340.12,44857.42,0.00,0.00,41.47,0.00,0.00,41.47
B061,0.00,0.00,4246.78,0.00,0.00,4246.78,43783.62,0.00,0.00,40.56,0.00,0.00,40.56
B062,0.00,0.00,21732.34,0.00,0.00,21732.34,225677.64,0.00,0.00,203.74,0.00,0.00,203.74
B063,0.00,0.00,1174.12,0.00,0.00,1174.12,12017.40,0.00,0.00,13.98,0.00,0.00,13.98
B064,0.00,0.00,3242.92,0.00,0.00,3242.92,33766.23,0.00,0.00,35.31,0.00,0.00,35.31
B065,0.00,0.00,4361.76,0.00,0.00,4361.76,46006.58,0.00,0.00,49.77,0.00,0.00,49.77
B066,0.00,0.00,5347.13,0.00,0.00,5347.13,55978.93,0.00,0.00,60.39,0.00,0.00,60.39
B067,0.00,0.00,280.25,0.00,0.00,280.25,2810.99,0.00,0.00,3.48,0.00,0.00,3.48
B068,0.00,0.00,6132.50,0.00,0.00,6132.50,63702.96,0.00,0.00,57.58,0.00,0.00,57.58
B069,0.00,0.00,2498.10,0.00,0.00,2498.10,26008.63,0.00,0.00,23.62,0.00,0.00,23.62
B070,0.00,0.00,3133.35,0.00,0.00,3133.35,32547.94,0.00,0.00,29.40,0.00,0.00,29.40
B071,0.00,0.00,3657.54,0.00,0.00,3657.54,38004.94,0.00,0.00,34.31,0.00,0.00,34.31
B072,0.00,0.00,2174.59,0.00,0.00,2174.59,22420.41,0.00,0.00,20.73,0.00,0.00,20.73
B073,0.00,0.00,3703.65,0.00,0.00,3703.65,38512.03,0.00,0.00,34.95,0.00,0.00,34.95
B074,0.00,0.00,4497.47,0.00,0.00,4497.47,46888.41,0.00,0.00,51.59,0.00,0.00,51.59
B075,0.00,0.00,3324.62,0.00,0.00,3324.62,34028.83,0.00,0.00,32.64,0.00,0.00,32.64
B076,0.00,0.00,2494.07,0.00,0.00,2494.07,25908.36,0.00,0.00,23.35,0.00,0.00,23.35
B077,0.00,0.00,3637.56,0.00,0.00,3637.56,37791.65,0.00,0.00,34.08,0.00,0.00,34.08
B078,0.00,0.00,2307.87,0.00,0.00,2307.87,23983.16,0.00,0.00,21.65,0.00,0.00,21.65
B079,0.00,0.00,3651.90,0.00,0.00,3651.90,37977.84,0.00,0.00,34.80,0.00,0.00,34.80
B080,0.00,0.00,4682.27,0.00,0.00,4682.27,48642.34,0.00,0.00,43.91,0.00,0.00,43.91
B081,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B082,0.00,0.00,352.96,0.00,0.00,352.96,3670.87,0.00,0.00,4.78,0.00,0.00,4.78
B083,0.00,0.00,2121.25,0.00,0.00,2121.25,21871.62,0.00,0.00,20.21,0.00,0.00,20.21
B084,0.00,0.00,3856.62,0.00,0.00,3856.62,40073.01,0.00,0.00,36.16,0.00,0.00,36.16
B085,0.00,0.00,1946.58,0.00,0.00,1946.58,20166.05,0.00,0.00,20.10,0.00,0.00,20.10
B086,0.00,0.00,3745.20,0.00,0.00,3745.20,38724.84,0.00,0.00,35.60,0.00,0.00,35.60
B087,0.00,0.00,2185.04,0.00,0.00,2185.04,22757.27,0.00,0.00,20.85,0.00,0.00,20.85
B088,0.00,0.00,3592.10,0.00,0.00,3592.10,37233.21,0.00,0.00,34.85,0.00,0.00,34.85
B089,0.00,0.00,3712.55,0.00,0.00,3712.55,38567.43,0.00,0.00,34.93,0.00,0.00,34.93
B090,0.00,0.00,3796.31,0.00,0.00,3796.31,39733.04,0.00,0.00,35.32,0.00,0.00,35.32
B091,0.00,0.00,2330.09,0.00,0.00,2330.09,24195.67,0.00,0.00,21.83,0.00,0.00,21.83
B092,0.00,0.00,3307.83,0.00,0.00,3307.83,34768.56,0.00,0.00,40.00,0.00,0.00,40.00
B093,0.00,0.00,4426.05,0.00,0.00,4426.05,45868.21,0.00,0.00,42.54,0.00,0.00,42.54
B094,0.00,0.00,19851.28,0.00,0.00,19851.28,205529.90,0.00,0.00,187.57,0.00,0.00,187.57
B095,0.00,0.00,4749.63,0.00,0.00,4749.63,49368.24,0.00,0.00,45.07,0.00,0.00,45.07
B096,0.00,0.00,6074.77,0.00,0.00,6074.77,63090.54,0.00,0.00,56.90,0.00,0.00,56.90
B097,0.00,0.00,12583.95,0.00,0.00,12583.95,130753.19,0.00,0.00,118.06,0.00,0.00,118.06
B098,0.00,0.00,7553.23,0.00,0.00,7553.23,78460.50,0.00,0.00,70.83,0.00,0.00,70.83
B099,0.00,0.00,13950.86,0.00,0.00,13950.86,144990.96,0.00,0.00,130.94,0.00,0.00,130.94
B100,0.00,0.00,6169.29,0.00,0.00,6169.29,64234.86,0.00,0.00,58.62,0.00,0.00,58.62
B101,0.00,0.00,7891.59,0.00,0.00,7891.59,81971.03,0.00,0.00,73.95,0.00,0.00,73.95
B102,0.00,0.00,3357.67,0.00,0.00,3357.67,35294.91,0.00,0.00,32.43,0.00,0.00,32.43
B103,0.00,0.00,3281.78,0.00,0.00,3281.78,34604.12,0.00,0.00,31.93,0.00,0.00,31.93
B104,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B105,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B106,0.00,0.00,12878.68,0.00,0.00,12878.68,133903.02,0.00,0.00,120.57,0.00,0.00,120.57
B107,0.00,0.00,4943.22,0.00,0.00,4943.22,51356.25,0.00,0.00,47.14,0.00,0.00,47.14
B108,0.00,0.00,2908.93,0.00,0.00,2908.93,30395.96,0.00,0.00,27.18,0.00,0.00,27.18
B109,0.00,0.00,791.98,0.00,0.00,791.98,8462.68,0.00,0.00,10.79,0.00,0.00,10.79
B110,0.00,0.00,3229.32,0.00,0.00,3229.32,33742.00,0.00,0.00,30.00,0.00,0.00,30.00
B111,0.00,0.00,822.79,0.00,0.00,822.79,8474.61,0.00,0.00,9.88,0.00,0.00,9.88
B112,0.00,0.00,2005.33,0.00,0.00,2005.33,20856.11,0.00,0.00,18.88,0.00,0.00,18.88
B113,0.00,0.00,4570.70,0.00,0.00,4570.70,47779.52,0.00,0.00,43.78,0.00,0.00,43.78
B114,0.00,0.00,3495.25,0.00,0.00,3495.25,36468.54,0.00,0.00,33.68,0.00,0.00,33.68
B115,0.00,0.00,1143.69,0.00,0.00,1143.69,12302.33,0.00,0.00,14.51,0.00,0.00,14.51
B116,0.00,0.00,906.13,0.00,0.00,906.13,9920.05,0.00,0.00,9.91,0.00,0.00,9.91
B117,0.00,0.00,1713.26,0.00,0.00,1713.26,17952.43,0.00,0.00,18.32,0.00,0.00,18.32
B118,0.00,0.00,1750.86,0.00,0.00,1750.86,17824.27,0.00,0.00,20.15,0.00,0.00,20.15
B119,0.00,0.00,1979.52,0.00,0.00,1979.52,20600.01,0.00,0.00,18.65,0.00,0.00,18.65
B120,0.00,0.00,2240.72,0.00,0.00,2240.72,23279.44,0.00,0.00,21.01,0.00,0.00,21.01
B121,0.00,0.00,572.07,0.00,0.00,572.07,6077.94,0.00,0.00,7.63,0.00,0.00,7.63
B122,0.00,0.00,683.18,0.00,0.00,683.18,7134.13,0.00,0.00,9.02,0.00,0.00,9.02
B123,0.00,0.00,4303.86,0.00,0.00,4303.86,44774.78,0.00,0.00,40.44,0.00,0.00,40.44
B124,0.00,0.00,2705.86,0.00,0.00,2705.86,28114.29,0.00,0.00,25.35,0.00,0.00,25.35
B125,0.00,0.00,10853.40,0.00,0.00,10853.40,112755.57,0.00,0.00,101.73,0.00,0.00,101.73
B126,0.00,0.00,2499.64,0.00,0.00,2499.64,25653.47,0.00,0.00,23.81,0.00,0.00,23.81
B127,0.00,0.00,865.85,0.00,0.00,865.85,9064.29,0.00,0.00,11.29,0.00,0.00,11.29
B128,0.00,0.00,12419.45,0.00,0.00,12419.45,129374.23,0.00,0.00,123.63,0.00,0.00,123.63
B129,0.00,0.00,13605.72,0.00,0.00,13605.72,141431.96,0.00,0.00,130.49,0.00,0.00,130.49
B130,0.00,0.00,33725.30,0.00,0.00,33725.30,350392.24,0.00,0.00,316.37,0.00,0.00,316.37
B131,0.00,0.00,5480.41,0.00,0.00,5480.41,56930.12,0.00,0.00,51.38,0.00,0.00,51.38
B132,0.00,0.00,25185.69,0.00,0.00,25185.69,261985.30,0.00,0.00,281.91,0.00,0.00,281.91
B133,0.00,0.00,3756.84,0.00,0.00,3756.84,39026.03,0.00,0.00,35.20,0.00,0.00,35.20
B134,0.00,0.00,2261.55,0.00,0.00,2261.55,23489.24,0.00,0.00,21.19,0.00,0.00,21.19
B135,0.00,0.00,2272.06,0.00,0.00,2272.06,23605.27,0.00,0.00,21.30,0.00,0.00,21.30
B136,0.00,0.00,1358.88,0.00,0.00,1358.88,14121.55,0.00,0.00,12.74,0.00,0.00,12.74
B137,0.00,0.00,1550.55,0.00,0.00,1550.55,16282.86,0.00,0.00,17.91,0.00,0.00,17.91
B138,0.00,0.00,2278.39,0.00,0.00,2278.39,23660.66,0.00,0.00,21.34,0.00,0.00,21.34
B139,0.00,0.00,3514.09,0.00,0.00,3514.09,36511.12,0.00,0.00,32.98,0.00,0.00,32.98
B140,0.00,0.00,5539.30,0.00,0.00,5539.30,57567.82,0.00,0.00,52.01,0.00,0.00,52.01
B141,0.00,0.00,1265.81,0.00,0.00,1265.81,13383.28,0.00,0.00,15.78,0.00,0.00,15.78
B142,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B143,0.00,0.00,301.59,0.00,0.00,301.59,3260.39,0.00,0.00,3.80,0.00,0.00,3.80
B144,0.00,0.00,3975.63,0.00,0.00,3975.63,41289.83,0.00,0.00,37.22,0.00,0.00,37.22
B145,0.00,0.00,2962.61,0.00,0.00,2962.61,30777.84,0.00,0.00,27.76,0.00,0.00,27.76
B146,0.00,0.00,3695.54,0.00,0.00,3695.54,38382.06,0.00,0.00,34.61,0.00,0.00,34.61
B147,0.00,0.00,3047.27,0.00,0.00,3047.27,31651.54,0.00,0.00,28.53,0.00,0.00,28.53
B148,0.00,0.00,3713.62,0.00,0.00,3713.62,38580.95,0.00,0.00,34.83,0.00,0.00,34.83
B149,0.00,0.00,7539.17,0.00,0.00,7539.17,78329.25,0.00,0.00,70.70,0.00,0.00,70.70
B150,0.00,0.00,4321.96,0.00,0.00,4321.96,44906.50,0.00,0.00,40.53,0.00,0.00,40.53
B151,0.00,0.00,8153.57,0.00,0.00,8153.57,84695.44,0.00,0.00,76.36,0.00,0.00,76.36
B152,0.00,0.00,5652.59,0.00,0.00,5652.59,58714.31,0.00,0.00,52.98,0.00,0.00,52.98
B153,0.00,0.00,2276.89,0.00,0.00,2276.89,23650.93,0.00,0.00,21.33,0.00,0.00,21.33
B154,0.00,0.00,1121.68,0.00,0.00,1121.68,12083.23,0.00,0.00,15.12,0.00,0.00,15.12
B155,0.00,0.00,3592.12,0.00,0.00,3592.12,37307.75,0.00,0.00,34.08,0.00,0.00,34.08
B156,0.00,0.00,3749.11,0.00,0.00,3749.11,38959.14,0.00,0.00,35.18,0.00,0.00,35.18
B157,0.00,0.00,3855.32,0.00,0.00,3855.32,40145.34,0.00,0.00,36.60,0.00,0.00,36.60
B158,0.00,0.00,8215.47,0.00,0.00,8215.47,85562.39,0.00,0.00,78.60,0.00,0.00,78.60
B159,0.00,0.00,3526.57,0.00,0.00,3526.57,36755.31,0.00,0.00,33.59,0.00,0.00,33.59
B160,0.00,0.00,820.46,0.00,0.00,820.46,8544.10,0.00,0.00,9.79,0.00,0.00,9.79
B161,0.00,0.00,2036.06,0.00,0.00,2036.06,21211.74,0.00,0.00,23.69,0.00,0.00,23.69
B162,0.00,0.00,2730.78,0.00,0.00,2730.78,28731.19,0.00,0.00,31.71,0.00,0.00,31.71
B163,0.00,0.00,2545.69,0.00,0.00,2545.69,27297.00,0.00,0.00,28.79,0.00,0.00,28.79
B164,0.00,0.00,3687.93,0.00,0.00,3687.93,38315.57,0.00,0.00,34.56,0.00,0.00,34.56
B165,0.00,0.00,9517.78,0.00,0.00,9517.78,98876.67,0.00,0.00,89.16,0.00,0.00,89.16
B166,0.00,0.00,1907.72,0.00,0.00,1907.72,19814.71,0.00,0.00,17.87,0.00,0.00,17.87
B167,0.00,0.00,3381.31,0.00,0.00,3381.31,35622.06,0.00,0.00,41.11,0.00,0.00,41.11
B168,0.00,0.00,3293.99,0.00,0.00,3293.99,33425.61,0.00,0.00,32.03,0.00,0.00,32.03
B169,0.00,0.00,2164.15,0.00,0.00,2164.15,22484.90,0.00,0.00,20.30,0.00,0.00,20.30
B170,0.00,0.00,3900.96,0.00,0.00,3900.96,40590.07,0.00,0.00,36.78,0.00,0.00,36.78
B171,0.00,0.00,3696.13,0.00,0.00,3696.13,38414.03,0.00,0.00,34.69,0.00,0.00,34.69
B172,0.00,0.00,4391.08,0.00,0.00,4391.08,45609.05,0.00,0.00,41.18,0.00,0.00,41.18
B173,0.00,0.00,2308.19,0.00,0.00,2308.19,23973.56,0.00,0.00,21.62,0.00,0.00,21.62
B174,0.00,0.00,3876.42,0.00,0.00,3876.42,40318.96,0.00,0.00,36.37,0.00,0.00,36.37
B175,0.00,0.00,2623.25,0.00,0.00,2623.25,27220.26,0.00,0.00,24.67,0.00,0.00,24.67
B176,0.00,0.00,20129.27,0.00,0.00,20129.27,209127.42,0.00,0.00,188.75,0.00,0.00,188.75
B177,0.00,0.00,3173.72,0.00,0.00,3173.72,32874.14,0.00,0.00,37.03,0.00,0.00,37.03
B178,0.00,0.00,8451.74,0.00,0.00,8451.74,87797.41,0.00,0.00,99.59,0.00,0.00,99.59
