,HWB,Heizlast,KWB,Kühllast,Strombedarf,maxLeistung,heizart,Fläche
53,33.500649882120726,22.485947253326195,0.0,0.0,17.248829681719485,27.899,Gas,3381.4788243640123
54,31.32451510716034,21.15408334455552,0.0,0.0,17.242601852352944,45.879,Fernwärme,5561.89860870468
55,89.84088305775954,41.09765309259565,0.0,0.0,17.362285379216832,17.769,Gas,2104.9589548988406
56,89.5270262776417,40.98695172597844,0.0,0.0,17.373244842946747,16.707,Gas,1978.4550755411537
57,98.21126215386792,43.33450217050344,0.0,0.0,17.38261531394151,13.314,Gas,1471.5480628954385
58,104.36407235117865,45.58025183820774,0.0,0.0,17.407332886206124,11.112,Fernwärme,1278.532734197701
59,89.06191119538329,40.57926471543824,0.0,0.0,17.363679114399055,23.497,Gas,2783.27271141479
60,88.48891053534767,40.54066464269462,0.0,0.0,17.36645917100326,22.853,Gas,2706.700188841618
61,45.79314350980655,27.52603360079071,0.0,0.0,17.280687865546486,175.686,Gas,22098.451430413334
62,75.56901977798707,31.141070275875936,0.0,0.0,17.320130371749965,3.413,Gas,236.247514266993
63,83.92300206015439,37.362226624035486,0.0,0.0,17.348958595039935,8.203,Gas,756.25387359643
64,86.344679477308,35.302859666146546,0.0,0.0,17.351734483161678,7.793,Gas,538.9791029007893
65,68.88480483889425,29.85567450362979,0.0,0.0,17.319478683687134,9.343,Gas,646.5938571282411
66,132.0394001309822,55.21120265692721,0.0,0.0,17.456352759088425,2.955,Gas,203.84431105031635
67,75.05467022903204,36.74448122610122,0.7303690875906741,13.450999999999999,18.116103653988695,38.086,Fernwärme,3699.3079356918847
68,95.38424444020117,42.76325081152782,0.0,0.0,17.383842772063783,12.814,Gas,1517.2436798345195
69,84.75255499234605,39.766827290578384,0.0,0.0,17.350314993616742,18.218,Gas,2203.517228506861
70,80.58459033282502,38.229524126428736,0.0,0.0,17.34068173637068,21.26,Gas,2571.74912541982
71,99.90581355535132,43.93279991349949,0.0,0.0,17.390612892180712,9.642,Gas,1109.8199466563108
72,81.52650374324263,38.27143285298281,0.0,0.0,17.34018907928834,16.24,Gas,1871.2612290374543
73,89.67322524414146,38.2734492364905,0.0,0.0,17.36532744649321,12.071,Fernwärme,1112.538213918862
74,100.14757880887971,43.72415208918999,0.0,0.0,17.37836595399003,13.113,Gas,1449.6332230177409
75,81.29332944619492,38.50603067101728,0.0,0.0,17.346754239410355,15.485,Gas,1872.8429056522011
76,81.09962596160138,38.34039172806151,0.0,0.0,17.337731427481117,21.113,Gas,2554.3167915599424
77,90.01117595920286,41.08835495575565,0.0,0.0,17.37000767966313,13.421,Gas,1622.4666232996526
78,57.36138374057414,30.839047705521708,0.0,0.0,17.283166132689132,16.153,Gas,1863.114053440569
79,75.75639852597361,36.83967038245632,0.0,0.0,17.336759020789874,20.403,Gas,2350.703831645255
80,94.73968441150045,45.11455525606469,0.0,0.0,17.371757075471695,2.576,Gas,178.07991762991566
81,105.3555072365292,51.41207983606499,0.0,0.0,17.43474964505781,2.026,Gas,139.81125077748317
82,63.74359114541625,33.147707812288246,0.0,0.0,17.299987217711635,9.387,Gas,1082.2267049643533
83,55.58855452743666,30.60393312904852,0.0,0.0,17.281523271258315,19.186,Gas,2276.0936803526783
84,56.10448980476787,30.470708211085793,0.0,0.0,17.283060652590876,9.331,Gas,1076.1972663554518
85,49.356050181753695,28.052575582941746,0.0,0.0,17.265621508999025,16.292,Gas,1879.8331230947085
86,66.65770773582487,33.94161597644641,0.0,0.0,17.314565184084117,8.069,Gas,892.8746428910179
87,61.07063409624697,31.859710506597374,0.0,0.0,17.29167269643927,13.481,Fernwärme,1492.5935245284847
88,64.57534929205902,33.11584396585971,0.0,0.0,17.301599276687003,13.517,Gas,1496.2266592437747
